CustomerID	CustomerName	City
1	Customer 1	Delhi
2	Customer 2	Tokyo
3	Customer 3	London
4	Customer 4	Tokyo
5	Customer 5	Tokyo
6		New York
7	Customer 7	London
8	Customer 8	London
9	Customer 9	London
10	Customer 10	Tokyo
11	Customer 20	Delhi
12	Customer 12	London
13	Customer 13	Tokyo
14	Customer 14	New York
15	Customer 15	Delhi
16	Customer 16	   NEW YORK
17	Customer 17	Delhi
18	Customer 18	Tokyo
19	Customer 19	São Paulo
20	Customer 20	Delhi
21	Customer 21	london 
22	Customer 22	Tokyo
23	Customer 23	Delhi
24	Customer 24	São Paulo
25	Customer 25	São Paulo
26	Customer 26	London
27	Customer 27	London
28	Customer 28	New York
29	Customer 29	Delhi
30	Customer 30	Delhi
31	Customer 31	London
32	Customer 32	Delhi
33	Customer 33	Delhi
34	Customer 34	São Paulo
35	Customer 35	London
36	Customer 36	Tokyo
37	Customer 37	London
38	Customer 38	Tokyo
39	Customer 39	São Paulo
40	Customer 40	New York
41	Customer 41	Delhi
42	Customer 42	São Paulo
43	Customer 43	Delhi
44	Customer 44	New York
45	Customer 45	New York
46	Customer 46	São Paulo
47	Customer 47	New York
48	Customer 48	Tokyo
49	Customer 49	New York
50	Customer 50	Delhi
51	Customer 51	Delhi
52	Customer 52	Delhi
53	Customer 53	Delhi
54	Customer 54	Tokyo
55	Customer 55	London
56	Customer 56	São Paulo
57	Customer 57	Delhi
58	Customer 58	New York
59	Customer 59	Delhi
60	Customer 60	New York
61	Customer 61	New York
62	Customer 62	Delhi
63	Customer 63	Tokyo
64	Customer 64	New York
65	Customer 65	New York
66	Customer 66	Delhi
67	Customer 67	New York
68	Customer 68	New York
69	Customer 69	Delhi
70	Customer 70	Delhi
71	Customer 71	São Paulo
72	Customer 72	Tokyo
73	Customer 73	Tokyo
74	Customer 74	New York
75	Customer 75	Tokyo
76	Customer 76	New York
77	Customer 77	São Paulo
78	Customer 78	Delhi
79	Customer 79	Delhi
80	Customer 80	Delhi
81	Customer 81	Tokyo
82	Customer 82	São Paulo
83	Customer 83	Tokyo
84	Customer 84	Tokyo
85	Customer 85	São Paulo
86	Customer 86	São Paulo
87	Customer 87	São Paulo
88	Customer 88	São Paulo
89	Customer 89	Delhi
90	Customer 90	London
91	Customer 91	London
92	Customer 92	São Paulo
93	Customer 93	London
94	Customer 94	London
95	Customer 95	São Paulo
96	Customer 96	London
97	Customer 97	Tokyo
98	Customer 98	New York
99	Customer 99	New York
100	Customer 100	São Paulo
101	Customer 101	Delhi
102	Customer 102	São Paulo
103	Customer 103	Delhi
104	Customer 104	New York
105	Customer 105	São Paulo
106	Customer 106	Tokyo
107	Customer 107	London
108	Customer 108	Delhi
109	Customer 109	London
110	Customer 110	London
111	Customer 111	São Paulo
112	Customer 112	London
113	Customer 113	Tokyo
114	Customer 114	London
115	Customer 115	São Paulo
116	Customer 116	Tokyo
117	Customer 117	New York
118	Customer 118	London
119	Customer 119	São Paulo
120	Customer 120	New York
121	Customer 121	New York
122	Customer 122	Delhi
123	Customer 123	Tokyo
124	Customer 124	London
125	Customer 125	São Paulo
126	Customer 126	Delhi
127	Customer 127	Tokyo
128	Customer 128	Delhi
129	Customer 129	Tokyo
130	Customer 130	Tokyo
131	Customer 131	London
132	Customer 132	Tokyo
133	Customer 133	Delhi
134	Customer 134	Tokyo
135	Customer 135	London
136	Customer 136	London
137	Customer 137	Delhi
138	Customer 138	New York
139	Customer 139	New York
140	Customer 140	Tokyo
141	Customer 141	São Paulo
142	Customer 142	Tokyo
143	Customer 143	Delhi
144	Customer 144	Delhi
145	Customer 145	Delhi
146	Customer 146	Delhi
147	Customer 147	Delhi
148	Customer 148	London
149	Customer 149	New York
150	Customer 150	Delhi
151	Customer 151	São Paulo
152	Customer 152	São Paulo
153	Customer 153	São Paulo
154	Customer 154	São Paulo
155	Customer 155	London
156	Customer 156	São Paulo
157	Customer 157	Delhi
158	Customer 158	Tokyo
159	Customer 159	São Paulo
160	Customer 160	London
161	Customer 161	London
162	Customer 162	São Paulo
163	Customer 163	Tokyo
164	Customer 164	São Paulo
165	Customer 165	London
166	Customer 166	New York
167	Customer 167	Delhi
168	Customer 168	London
169	Customer 169	São Paulo
170	Customer 170	Delhi
171	Customer 171	São Paulo
172	Customer 172	São Paulo
173	Customer 173	New York
174	Customer 174	Delhi
175	Customer 175	Delhi
176	Customer 176	New York
177	Customer 177	London
178	Customer 178	São Paulo
179	Customer 179	Tokyo
180	Customer 180	São Paulo
181	Customer 181	São Paulo
182	Customer 182	London
183	Customer 183	São Paulo
184	Customer 184	New York
185	Customer 185	New York
186	Customer 186	Delhi
187	Customer 187	Tokyo
188	Customer 188	São Paulo
189	Customer 189	São Paulo
190	Customer 190	London
191	Customer 191	New York
192	Customer 192	Tokyo
193	Customer 193	Delhi
194	Customer 194	New York
195	Customer 195	Delhi
196	Customer 196	London
197	Customer 197	London
198	Customer 198	São Paulo
199	Customer 199	Tokyo
200	Customer 200	Delhi
201	Customer 201	New York
202	Customer 202	London
203	Customer 203	São Paulo
204	Customer 204	São Paulo
205	Customer 205	Delhi
206	Customer 206	London
207	Customer 207	Tokyo
208	Customer 208	London
209	Customer 209	Delhi
210	Customer 210	Delhi
211	Customer 211	London
212	Customer 212	Delhi
213	Customer 213	London
214	Customer 214	New York
215	Customer 215	London
216	Customer 216	London
217	Customer 217	Delhi
218	Customer 218	Delhi
219	Customer 219	São Paulo
220	Customer 220	São Paulo
221	Customer 221	New York
222	Customer 222	São Paulo
223	Customer 223	London
224	Customer 224	Delhi
225	Customer 225	São Paulo
226	Customer 226	São Paulo
227	Customer 227	New York
228	Customer 228	New York
229	Customer 229	London
230	Customer 230	Delhi
231	Customer 231	New York
232	Customer 232	São Paulo
233	Customer 233	Delhi
234	Customer 234	Delhi
235	Customer 235	São Paulo
236	Customer 236	New York
237	Customer 237	São Paulo
238	Customer 238	Delhi
239	Customer 239	Tokyo
240	Customer 240	Tokyo
241	Customer 241	London
242	Customer 242	São Paulo
243	Customer 243	São Paulo
244	Customer 244	London
245	Customer 245	London
246	Customer 246	London
247	Customer 247	Delhi
248	Customer 248	São Paulo
249	Customer 249	Delhi
250	Customer 250	London
251	Customer 251	São Paulo
252	Customer 252	Delhi
253	Customer 253	Delhi
254	Customer 254	London
255	Customer 255	São Paulo
256	Customer 256	London
257	Customer 257	São Paulo
258	Customer 258	Tokyo
259	Customer 259	New York
260	Customer 260	New York
261	Customer 261	New York
262	Customer 262	London
263	Customer 263	Tokyo
264	Customer 264	São Paulo
265	Customer 265	Delhi
266	Customer 266	São Paulo
267	Customer 267	Delhi
268	Customer 268	São Paulo
269	Customer 269	Tokyo
270	Customer 270	Delhi
271	Customer 271	London
272	Customer 272	São Paulo
273	Customer 273	São Paulo
274	Customer 274	Delhi
275	Customer 275	London
276	Customer 276	London
277	Customer 277	Tokyo
278	Customer 278	London
279	Customer 279	London
280	Customer 280	London
281	Customer 281	New York
282	Customer 282	Tokyo
283	Customer 283	São Paulo
284	Customer 284	Delhi
285	Customer 285	São Paulo
286	Customer 286	Tokyo
287	Customer 287	Delhi
288	Customer 288	Tokyo
289	Customer 289	London
290	Customer 290	Delhi
291	Customer 291	London
292	Customer 292	São Paulo
293	Customer 293	São Paulo
294	Customer 294	Delhi
295	Customer 295	Delhi
296	Customer 296	Tokyo
297	Customer 297	Tokyo
298	Customer 298	London
299	Customer 299	Delhi
300	Customer 300	São Paulo
301	Customer 301	Tokyo
302	Customer 302	Tokyo
303	Customer 303	São Paulo
304	Customer 304	Tokyo
305	Customer 305	London
306	Customer 306	Delhi
307	Customer 307	São Paulo
308	Customer 308	Delhi
309	Customer 309	Tokyo
310	Customer 310	Tokyo
311	Customer 311	São Paulo
312	Customer 312	London
313	Customer 313	New York
314	Customer 314	São Paulo
315	Customer 315	New York
316	Customer 316	New York
317	Customer 317	London
318	Customer 318	New York
319	Customer 319	New York
320	Customer 320	London
321	Customer 321	New York
322	Customer 322	New York
323	Customer 323	New York
324	Customer 324	São Paulo
325	Customer 325	São Paulo
326	Customer 326	São Paulo
327	Customer 327	London
328	Customer 328	Tokyo
329	Customer 329	New York
330	Customer 330	New York
331	Customer 331	London
332	Customer 332	New York
333	Customer 333	São Paulo
334	Customer 334	Tokyo
335	Customer 335	Delhi
336	Customer 336	New York
337	Customer 337	São Paulo
338	Customer 338	Delhi
339	Customer 339	Tokyo
340	Customer 340	Delhi
341	Customer 341	São Paulo
342	Customer 342	Delhi
343	Customer 343	London
344	Customer 344	Delhi
345	Customer 345	New York
346	Customer 346	New York
347	Customer 347	London
348	Customer 348	São Paulo
349	Customer 349	New York
350	Customer 350	Tokyo
351	Customer 351	New York
352	Customer 352	New York
353	Customer 353	São Paulo
354	Customer 354	Delhi
355	Customer 355	New York
356	Customer 356	London
357	Customer 357	Delhi
358	Customer 358	Tokyo
359	Customer 359	São Paulo
360	Customer 360	Tokyo
361	Customer 361	Delhi
362	Customer 362	Delhi
363	Customer 363	Delhi
364	Customer 364	Tokyo
365	Customer 365	Delhi
366	Customer 366	Tokyo
367	Customer 367	Delhi
368	Customer 368	London
369	Customer 369	Delhi
370	Customer 370	Tokyo
371	Customer 371	New York
372	Customer 372	Delhi
373	Customer 373	New York
374	Customer 374	London
375	Customer 375	São Paulo
376	Customer 376	London
377	Customer 377	Delhi
378	Customer 378	New York
379	Customer 379	New York
380	Customer 380	Tokyo
381	Customer 381	New York
382	Customer 382	Tokyo
383	Customer 383	São Paulo
384	Customer 384	Delhi
385	Customer 385	Tokyo
386	Customer 386	São Paulo
387	Customer 387	New York
388	Customer 388	New York
389	Customer 389	São Paulo
390	Customer 390	New York
391	Customer 391	São Paulo
392	Customer 392	Tokyo
393	Customer 393	Tokyo
394	Customer 394	São Paulo
395	Customer 395	Tokyo
396	Customer 396	Tokyo
397	Customer 397	Tokyo
398	Customer 398	London
399	Customer 399	Delhi
400	Customer 400	New York
401	Customer 401	London
402	Customer 402	Tokyo
403	Customer 403	São Paulo
404	Customer 404	Tokyo
405	Customer 405	Delhi
406	Customer 406	Tokyo
407	Customer 407	São Paulo
408	Customer 408	Delhi
409	Customer 409	Tokyo
410	Customer 410	Delhi
411	Customer 411	New York
412	Customer 412	New York
413	Customer 413	Tokyo
414	Customer 414	Delhi
415	Customer 415	São Paulo
416	Customer 416	Tokyo
417	Customer 417	New York
418	Customer 418	New York
419	Customer 419	Tokyo
420	Customer 420	Delhi
421	Customer 421	New York
422	Customer 422	Delhi
423	Customer 423	New York
424	Customer 424	New York
425	Customer 425	London
426	Customer 426	New York
427	Customer 427	São Paulo
428	Customer 428	Tokyo
429	Customer 429	Tokyo
430	Customer 430	Delhi
431	Customer 431	New York
432	Customer 432	São Paulo
433	Customer 433	Delhi
434	Customer 434	London
435	Customer 435	Delhi
436	Customer 436	Delhi
437	Customer 437	New York
438	Customer 438	London
439	Customer 439	Delhi
440	Customer 440	São Paulo
441	Customer 441	São Paulo
442	Customer 442	Tokyo
443	Customer 443	London
444	Customer 444	London
445	Customer 445	Tokyo
446	Customer 446	Delhi
447	Customer 447	London
448	Customer 448	São Paulo
449	Customer 449	São Paulo
450	Customer 450	New York
451	Customer 451	London
452	Customer 452	Delhi
453	Customer 453	Tokyo
454	Customer 454	Tokyo
455	Customer 455	Delhi
456	Customer 456	New York
457	Customer 457	Tokyo
458	Customer 458	London
459	Customer 459	New York
460	Customer 460	London
461	Customer 461	São Paulo
462	Customer 462	New York
463	Customer 463	Tokyo
464	Customer 464	New York
465	Customer 465	New York
466	Customer 466	New York
467	Customer 467	New York
468	Customer 468	London
469	Customer 469	São Paulo
470	Customer 470	Delhi
471	Customer 471	New York
472	Customer 472	Tokyo
473	Customer 473	New York
474	Customer 474	Tokyo
475	Customer 475	London
476	Customer 476	Tokyo
477	Customer 477	Delhi
478	Customer 478	São Paulo
479	Customer 479	Tokyo
480	Customer 480	Tokyo
481	Customer 481	São Paulo
482	Customer 482	Delhi
483	Customer 483	New York
484	Customer 484	Tokyo
485	Customer 485	São Paulo
486	Customer 486	London
