OrderID	CustomerID	DateID	ManagerID
1	293	220	3
2	309	354	4
3	85	365	1
4	201	75	1
5	232	120	3
6	237	254	4
7	979	233	2
8	808	327	2
9	101	122	3
10	25	33	1
11	283	215	4
12	202	33	2
13	143	316	3
14	556	290	4
15	575	144	4
16	678	298	2
17	939	1	2
18	392	358	3
19	188	215	2
20	310	231	1
21	794	213	2
22	933	113	4
23	760	240	3
24	599	33	4
25	499	263	2
26	427	130	3
27	895	96	3
28	705	318	2
29	252	216	4
30	199	179	1
31	712	123	3
32	463	280	1
33	872	56	4
34	532	294	2
35	157	356	4
36	561	153	2
37	639	239	2
38	872	139	2
39	58	178	4
40	606	288	4
41	897	14	3
42	545	86	4
43	595	120	3
44	579	230	3
45	305	260	4
46	815	58	4
47	746	244	3
48	560	73	1
49	835	2	3
50	419	23	4
51	597	132	3
52	939	147	4
53	41	272	4
54	745	110	3
55	260	328	1
56	985	45	4
57	171	161	3
58	424	308	3
59	724	212	3
60	709	155	4
61	220	207	3
62	276	5	1
63	68	164	2
64	809	12	1
65	983	170	2
66	3	111	2
67	152	243	2
68	336	292	1
69	681	267	3
70	84	315	3
71	231	343	2
72	494	282	2
73	900	4	1
74	768	284	4
75	138	244	1
76	477	326	4
77	983	355	2
78	789	84	2
79	599	307	1
80	361	13	3
81	314	59	2
82	201	314	2
83	147	12	2
84	660	215	2
85	824	187	3
86	991	351	4
87	906	182	3
88	600	355	4
89	50	238	3
90	360	60	3
91	490	315	4
92	738	307	3
93	217	10	4
94	918	169	2
95	980	141	1
96	761	311	3
97	130	330	1
98	171	166	4
99	357	191	3
100	306	290	4
101	95	9999	1
102	573	179	2
103	597	187	1
104	140	316	4
105	117	163	2
106	428	264	3
107	122	312	3
108	511	42	1
109	235	313	3
110	363	213	4
111	685	52	3
112	287	357	3
113	665	25	4
114	735	241	3
115	146	110	4
116	853	219	4
117	291	90	4
118	78	32	2
119	258	284	2
120	320	356	3
121	410	273	1
122	462	317	2
123	552	159	2
124	963	330	3
125	381	140	4
126	947	138	1
127	304	140	1
128	166	32	2
129	589	42	3
130	918	241	3
131	585	205	4
132	203	46	2
133	826	61	2
134	863	124	4
135	914	312	2
136	117	10	4
137	555	273	4
138	354	76	4
139	701	144	3
140	660	329	4
141	60	253	2
142	50	309	3
143	816	66	2
144	764	112	4
145	506	345	4
146	353	193	4
147	177	120	4
148	888	301	1
149	56	17	2
150	739	317	3
151	582	333	1
152	184	151	4
153	920	11	4
154	229	340	3
155	676	194	1
156	357	318	1
157	912	323	4
158	271	7	2
159	414	35	2
160	67	193	1
161	944	183	3
162	957	257	2
163	966	176	4
164	140	197	3
165	441	355	4
166	505	193	2
167	182	166	3
168	346	200	4
169	690	83	1
170	202	46	4
171	630	314	4
172	161	87	1
173	619	330	4
174	194	210	4
175	73	246	4
176	940	331	1
177	518	292	1
178	620	247	2
179	159	108	3
180	635	353	1
181	658	355	1
182	190	61	1
183	760	175	3
184	324	310	1
185	387	216	4
186	350	208	2
187	574	140	1
188	651	71	3
189	504	8	1
190	489	316	4
191	625	101	3
192	1	305	3
193	627	31	3
194	131	134	1
195	405	140	1
196	169	171	4
197	149	173	2
198	769	124	2
199	163	251	2
200	532	316	3
201	674	57	1
202	202	178	1
203	589	254	2
204	863	345	3
205	971	157	2
206	459	13	1
207	85	308	4
208	208	308	2
209	433	239	1
210	322	93	4
211	847	244	3
212	680	265	3
213	630	361	2
214	792	145	3
215	467	18	2
216	475	102	2
217	433	276	3
218	677	363	3
219	139	56	1
220	164	179	4
221	404	306	1
222	909	263	1
223	852	175	1
224	210	209	2
225	141	330	1
226	594	326	2
227	86	107	3
228	476	138	1
229	962	202	3
230	262	295	1
231	150	355	3
232	426	361	2
233	372	33	2
234	481	39	1
235	537	322	2
236	594	256	4
237	467	109	4
238	75	233	3
239	181	159	2
240	307	3	3
241	396	190	1
242	81	183	3
243	108	67	1
244	369	93	2
245	588	290	1
246	869	348	4
247	37	41	4
248	314	184	2
249	715	44	2
250	605	87	1
251	360	272	4
252	352	164	4
253	858	307	3
254	311	122	4
255	903	59	2
256	693	18	3
257	288	192	2
258	33	331	2
259	129	166	1
260	377	182	3
261	936	50	4
262	481	77	4
263	385	291	4
264	517	284	4
265	4	235	4
266	284	235	2
267	840	251	2
268	523	163	1
269	661	278	1
270	252	57	4
271	998	113	2
272	428	88	2
273	386	198	4
274	969	176	1
275	124	20	4
276	937	298	1
277	569	316	4
278	965	335	4
279	767	110	2
280	796	133	2
281	510	33	1
282	555	131	3
283	914	323	2
284	647	38	4
285	827	243	2
286	642	13	3
287	565	51	1
288	740	358	1
289	639	147	3
290	730	27	2
291	908	108	1
292	412	199	1
293	84	338	1
294	611	347	3
295	665	301	3
296	183	214	4
297	200	148	3
298	446	360	4
299	609	39	1
300	140	159	3
301	684	6	4
302	546	267	3
303	680	284	3
304	984	250	3
305	582	319	3
306	64	23	2
307	954	215	3
308	217	189	4
309	15	226	4
310	256	39	1
311	974	312	4
312	191	196	2
313	511	168	2
314	990	73	2
315	586	131	4
316	186	149	1
317	743	55	1
318	389	116	1
319	126	320	4
320	799	158	1
321	425	22	2
322	120	59	1
323	332	15	4
324	936	318	1
325	394	200	3
326	334	121	1
327	630	30	3
328	688	349	1
329	715	81	4
330	78	12	1
331	168	78	3
332	673	1	4
333	47	301	4
334	540	269	4
335	87	195	1
336	236	257	4
337	340	97	4
338	288	261	3
339	329	230	4
340	187	123	2
341	951	108	3
342	233	111	3
343	206	149	3
344	968	247	1
345	507	126	1
346	877	204	1
347	456	316	4
348	915	277	3
349	366	53	1
350	155	182	2
351	290	16	4
352	595	95	1
353	623	258	4
354	109	47	2
355	791	99	2
356	873	296	2
357	244	211	1
358	537	351	4
359	83	63	2
360	556	295	4
361	627	136	2
362	955	58	1
363	527	256	1
364	760	167	1
365	767	35	1
366	612	350	2
367	847	230	4
368	691	209	3
369	976	339	4
370	228	310	2
371	76	27	2
372	974	51	1
373	263	136	4
374	6	129	1
375	57	115	3
376	629	59	2
377	236	224	4
378	832	81	1
379	22	333	2
380	820	339	4
381	97	334	4
382	845	228	3
383	571	231	3
384	159	54	3
385	54	120	2
386	620	239	4
387	335	72	2
388	485	80	4
389	614	279	3
390	850	346	1
391	57	98	2
392	557	161	1
393	489	4	1
394	479	363	1
395	49	109	1
396	322	27	1
397	877	2	2
398	881	116	3
399	935	355	4
400	464	337	4
401	201	217	1
402	362	250	3
403	473	362	2
404	213	232	2
405	24	361	1
406	103	61	4
407	334	172	1
408	899	326	1
409	75	179	1
410	657	3	3
411	339	311	1
412	522	62	2
413	278	352	3
414	478	229	3
415	390	75	1
416	704	283	1
417	501	302	2
418	220	147	1
419	823	335	4
420	315	342	1
421	241	318	3
422	718	130	3
423	307	135	3
424	405	308	2
425	855	167	4
426	143	88	1
427	909	23	4
428	886	355	4
429	282	70	4
430	910	347	1
431	72	62	3
432	288	68	1
